# RayDrone Convergence Lab
# aperture_ms=93.5, grain=4096, trials=4, focus_s=7.006, sr=44100
# slopes: random=-0.4905, stratified=-0.9892, qmc=-0.8723, importance=-0.9852, reverse=-0.4854
N,random,stratified,qmc,importance,reverse
1,7.228091e-2,7.230199e-2,7.282641e-2,7.235684e-2,7.213457e-2
2,5.370997e-2,4.683744e-2,6.690849e-2,4.170265e-2,5.875932e-2
4,3.417473e-2,4.212040e-2,2.529860e-2,3.975842e-2,2.095095e-2
8,2.006639e-2,3.318591e-2,2.308812e-2,1.728652e-2,1.791886e-2
16,1.711958e-2,1.434987e-2,2.032359e-2,2.242544e-2,1.767783e-2
32,1.261973e-2,1.306452e-2,8.354475e-3,8.007760e-3,1.548938e-2
64,8.904628e-3,4.751576e-3,5.212770e-3,5.522019e-3,6.152401e-3
128,7.322030e-3,2.194378e-3,2.663544e-3,2.047012e-3,6.154517e-3
256,4.332991e-3,9.895428e-4,1.296032e-3,7.779266e-4,4.567435e-3
512,2.692818e-3,2.988093e-4,4.204732e-4,3.494039e-4,3.523665e-3
1024,2.817341e-3,1.706481e-4,2.054141e-4,1.624610e-4,2.188818e-3
2048,1.661788e-3,5.524005e-5,1.925400e-4,5.387699e-5,1.850496e-3
4096,1.084577e-3,2.516534e-5,5.740623e-5,1.977184e-5,8.851292e-4
