# RayDrone Convergence Lab
# aperture_ms=93.5, grain=4096, trials=4, focus_s=4.431, sr=44100
# slopes: random=-0.4902, stratified=-0.7140, qmc=-0.7059, importance=-0.7094, reverse=-0.5014
N,random,stratified,qmc,importance,reverse
1,4.861164e-2,5.856265e-2,4.541220e-2,5.158905e-2,5.031844e-2
2,3.533609e-2,3.242906e-2,3.994653e-2,3.361061e-2,4.067353e-2
4,2.491119e-2,2.724029e-2,2.649617e-2,2.460274e-2,2.569634e-2
8,1.880998e-2,1.795113e-2,1.659751e-2,1.962363e-2,1.881044e-2
16,1.256062e-2,1.135887e-2,1.247362e-2,1.303510e-2,1.424207e-2
32,9.115919e-3,8.920171e-3,9.294215e-3,8.507917e-3,8.413154e-3
64,5.827727e-3,5.603304e-3,5.943164e-3,5.760784e-3,6.282685e-3
128,4.659431e-3,3.849413e-3,3.337945e-3,3.903663e-3,4.278846e-3
256,3.531673e-3,1.888947e-3,2.086197e-3,2.079151e-3,3.503377e-3
512,2.250274e-3,1.038419e-3,1.072550e-3,1.170636e-3,2.246963e-3
1024,1.708173e-3,5.541276e-4,4.776880e-4,5.708611e-4,1.618334e-3
2048,1.124989e-3,2.641539e-4,2.735798e-4,2.307350e-4,1.185052e-3
4096,8.463498e-4,1.138298e-4,1.274673e-4,1.153174e-4,8.253465e-4
