# RayDrone Convergence Lab
# aperture_ms=149.7, grain=4096, trials=4, focus_s=58.382, sr=44100
# slopes: random=-0.4808, stratified=-0.6458, qmc=-0.6541, importance=-0.6584, reverse=-0.4875
N,random,stratified,qmc,importance,reverse
1,4.024259e-2,3.539629e-2,4.417720e-2,4.833284e-2,4.543998e-2
2,3.239070e-2,2.932273e-2,2.908630e-2,2.566825e-2,2.844221e-2
4,1.690130e-2,2.380450e-2,2.061387e-2,2.122077e-2,2.319996e-2
8,1.364386e-2,1.711735e-2,1.586854e-2,1.441452e-2,1.528474e-2
16,1.195979e-2,1.123241e-2,1.083977e-2,1.095689e-2,9.885122e-3
32,7.724137e-3,7.134181e-3,6.777815e-3,6.866231e-3,9.031266e-3
64,5.605823e-3,5.494254e-3,5.747483e-3,4.983600e-3,4.767725e-3
128,3.843148e-3,3.975812e-3,3.201797e-3,3.605587e-3,3.719282e-3
256,2.603750e-3,2.911149e-3,2.025777e-3,2.325712e-3,2.761208e-3
512,2.014352e-3,1.362800e-3,1.312969e-3,1.303206e-3,2.495774e-3
1024,1.480198e-3,5.725387e-4,5.269046e-4,6.416812e-4,1.461617e-3
2048,1.069938e-3,3.381283e-4,3.727782e-4,2.986264e-4,1.003830e-3
4096,6.928945e-4,1.360193e-4,1.410829e-4,1.230208e-4,7.233394e-4
