population,mean_audio_block_ms,max_audio_block_ms,ray_update_hz,simulated_rays,audible_voices,top36_retention,top36_entries,top36_exits,top36_transitions,entries_per_transition,exits_per_transition,rms,peak
128,0.20430492000000106,1.286200000000001,100,128,36,0.24238888919353485,54548,54548,2000,27.274,27.274,0.032329256319014954,0.20841127634048462
512,0.4444200533333327,2.0423000000000684,100,512,36,0.07681944221258163,66469,66469,2000,33.2345,33.2345,0.036044619820782386,0.20927652716636658
2000,1.2513100400000092,2.325800000000527,100,2000,36,0.028527777642011642,69946,69946,2000,34.973,34.973,0.039251946900078064,0.22889940440654755
8000,4.5688257733333515,8.008399999998801,100,8000,36,0.009708333760499954,71301,71301,2000,35.6505,35.6505,0.03879546137504993,0.2080315798521042
