case,population,inertia,mean_audio_block_ms,p95_audio_block_ms,p99_audio_block_ms,max_audio_block_ms,ray_update_hz,simulated_rays,audible_voices,top36_retention,top36_entries,top36_exits,top36_transitions,entries_per_transition,exits_per_transition,top_pitch_mean,top_pitch_median,top_age_mean_s,top_energy_mean,top_effective_duration_mean_s,rms,peak,envelope_cv,dropout_window_pct,max_sample_jump
2k-inertia-00,2000,0,1.1655861333333324,3.4769999999999754,7.4343000000000075,16.4555,100,2000,36,0.07138889282941818,3343,3343,100,33.43,33.43,1.0001353025436401,1.0001766681671143,1.1249513626098633,0.7707237601280212,0.8750485777854919,0.042635207280311005,0.15446321666240692,0.503908225138468,0,0.002885480411350727
2k-inertia-25,2000,0.25,0.7298877333333337,1.6741000000000668,2.81919999999991,3.5499999999999545,100,2000,36,0.18138888478279114,2947,2947,100,29.47,29.47,1.0001177787780762,1.0001718997955322,1.1114017963409424,0.7598793506622314,0.8885982632637024,0.047591710004152514,0.17735092341899872,0.5313347100858017,0,0.00355714961187914
2k-inertia-50,2000,0.5,0.6493986666666642,1.3412999999998192,2.3310999999998785,3.5301999999999225,100,2000,36,0.34638890624046326,2353,2353,100,23.53,23.53,1.000108003616333,1.000145435333252,1.1113125085830688,0.7462113499641418,0.8886875510215759,0.050538064091824146,0.17369990050792694,0.48763822659072936,0,0.003081751521676779
