case,population,inertia,mean_audio_block_ms,max_audio_block_ms,ray_update_hz,simulated_rays,audible_voices,top36_retention,top36_entries,top36_exits,top36_transitions,entries_per_transition,exits_per_transition,top_pitch_mean,top_pitch_median,top_age_mean_s,top_energy_mean,top_effective_duration_mean_s,rms,peak
2k-normal,2000,0,1.3565769333333435,2.4278000000003885,100,2000,36,0.028527777642011642,69946,69946,2000,34.973,34.973,0.9999862313270569,0.9999775886535645,1.0041080713272095,0.8060454726219177,0.9958919286727905,0.039251946900078064,0.22889940440654755
2k-stable,2000,0.75,1.398185746666657,3.0754999999990105,100,2000,36,0.523597240447998,34301,34301,2000,17.1505,17.1505,0.9999635219573975,0.9999409914016724,1.0032622814178467,0.7356984615325928,0.9967377781867981,0.04074775653767772,0.2333178073167801
8k,8000,0,5.030548480000035,31.773000000001048,100,8000,36,0.009708333760499954,71301,71301,2000,35.6505,35.6505,0.9999482035636902,0.9999213218688965,1.0003119707107544,0.8302727341651917,0.9996880888938904,0.03879546137504993,0.2080315798521042
